old_team,base_price_cr,base_price,id,name,mtc,overseas,player_transfer,retained,role,sold,sold_price_cr,sold_price,team_id,Ct,St,Mat,Ave,SR,100,50,4s,6s,BoundaryPercentage,BAve,Econ,BSR,Wkts
,2.0,20000000,398666,Sean Abbott,0,1,0,0,all-rounder,0,0.0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2.0,20000000,267192,Steven Smith,0,1,0,0,batsman,0,0.0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2.0,20000000,296597,James Vince,0,1,0,0,batsman,0,0.0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2.0,20000000,337790,Rassie van der Dussen,0,1,0,0,batsman,0,0.0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2.0,20000000,244497,Adil Rashid,0,1,0,0,bowler,0,0.0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2.0,20000000,288284,Josh Hazlewood,0,1,0,0,bowler,0,0.0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2.0,20000000,662235,Josh Inglis,0,1,0,0,wk/batsman,0,0.0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1.5,15000000,355269,James Neesham,0,1,0,0,all-rounder,0,0.0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1.5,15000000,391485,Jason Holder,0,1,0,0,all-rounder,0,0.0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1.5,15000000,826901,Daniel Sams,0,1,0,0,all-rounder,0,0.0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1.5,15000000,232359,Colin Munro,0,1,0,0,batsman,0,0.0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1.5,15000000,232364,Tim Southee,0,1,0,0,bowler,0,0.0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1.5,15000000,288992,Chris Jordan,0,1,0,0,bowler,0,0.0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1.5,15000000,459257,Tymal Mills,0,1,0,0,bowler,0,0.0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1.5,15000000,669365,Phil Salt,0,1,0,0,wk/batsman,0,0.0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1.0,10000000,221140,David Wiese,0,1,0,0,all-rounder,0,0.0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1.0,10000000,326968,Michael Bracewell,0,1,0,0,all-rounder,0,0.0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1.0,10000000,327830,Dwaine Pretorius,0,1,0,0,all-rounder,0,0.0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1.0,10000000,505120,Ashton Agar,0,1,0,0,all-rounder,0,0.0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1.0,10000000,265564,Wayne Parnell,0,1,0,0,bowler,0,0.0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1.0,10000000,450860,Adam Milne,0,1,0,0,bowler,0,0.0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1.0,10000000,625960,Kyle Jamieson,0,1,0,0,bowler,0,0.0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1.0,10000000,961713,Riley Meredith,0,1,0,0,bowler,0,0.0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1.0,10000000,297628,Sam Billings,0,1,0,0,wk/batsman,0,0.0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.75,7500000,670013,Fabian Allen,0,1,0,0,all-rounder,0,0.0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.75,7500000,959759,Finn Allen,0,1,0,0,batsman,0,0.0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.75,7500000,506612,Matt Henry,0,1,0,0,bowler,0,0.0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.75,7500000,527776,Ollie Robinson,0,1,0,0,bowler,0,0.0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.75,7500000,533042,Billy Stanlake,0,1,0,0,bowler,0,0.0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.75,7500000,538506,Taskin Ahmed,0,1,0,0,bowler,0,0.0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.75,7500000,559066,Ish Sodhi,0,1,0,0,bowler,0,0.0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.5,5000000,230371,Ben Cutting,0,1,0,0,all-rounder,0,0.0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.5,5000000,267724,Keshav Maharaj,0,1,0,0,all-rounder,0,0.0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.5,5000000,437316,Dasun Shanaka,0,1,0,0,all-rounder,0,0.0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.5,5000000,452044,Hanuma Vihari,0,0,0,0,all-rounder,0,0.0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.5,5000000,269280,Reeza Hendricks,0,1,0,0,batsman,0,0.0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.5,5000000,398439,Karun Nair,0,0,0,0,batsman,0,0.0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.5,5000000,524049,Najibullah Zadran,0,1,0,0,batsman,0,0.0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.5,5000000,326017,Siddarth Kaul,0,0,0,0,bowler,0,0.0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.5,5000000,360911,Varun Aaron,0,0,0,0,bowler,0,0.0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.5,5000000,379145,Tabraiz Shamsi,0,1,0,0,bowler,0,0.0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.5,5000000,473191,Richard Gleeson,0,1,0,0,bowler,0,0.0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.5,5000000,530812,Akeal Hosein,0,1,0,0,bowler,0,0.0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
